model,processor,screen_size,ram,storage,warranty,count,min_price,max_price,avg_price
MacBook Air,Intel i3,13,8,256,Unknown,1,6888,6888,6888.0
MacBook Air,Intel i3,13,8,Unknown,Unknown,1,9000,9000,9000.0
MacBook Air,Intel i5,13,4,Unknown,Unknown,1,1999,1999,1999.0
MacBook Air,Intel i5,13,8,256,Unknown,3,3600,7000,5030.0
MacBook Air,Intel i5,13,8,Unknown,Unknown,5,3300,12999,6439.8
MacBook Air,Intel i5,13,16,512,Unknown,1,12500,12500,12500.0
MacBook Air,Intel i5,13,16,Unknown,Unknown,2,6000,11000,8500.0
MacBook Air,Intel i5,15,8,Unknown,Unknown,1,1950,1950,1950.0
MacBook Air,M1,13,8,256,Unknown,10,8500,16000,12049.8
MacBook Air,M1,13,8,512,Unknown,6,13000,14800,13916.666666666666
MacBook Air,M1,13,16,256,Unknown,1,14500,14500,14500.0
MacBook Air,M1,13,16,512,Unknown,3,20000,23000,21000.0
MacBook Air,M1,13,16,Unknown,Unknown,2,24000,25000,24500.0
MacBook Air,M1,13,Unknown,256,Unknown,1,999999,999999,999999.0
MacBook Air,M1,13,Unknown,512,Unknown,1,13000,13000,13000.0
MacBook Air,M1,13,Unknown,Unknown,AppleCare,2,13800,13900,13850.0
MacBook Air,M1,13,Unknown,Unknown,Unknown,22,11900,18500,15018.09090909091
MacBook Air,M2,13,8,256,Unknown,15,16800,32000,19393.333333333332
MacBook Air,M2,13,8,512,Unknown,5,19000,25900,20940.0
MacBook Air,M2,13,8,Unknown,Unknown,1,22000,22000,22000.0
MacBook Air,M2,13,16,256,Unknown,4,22000,28500,24125.0
MacBook Air,M2,13,16,512,Unknown,2,24000,24000,24000.0
MacBook Air,M2,13,16,Unknown,Unknown,3,18000,26000,22666.666666666668
MacBook Air,M2,13,24,512,Unknown,1,23000,23000,23000.0
MacBook Air,M2,13,Unknown,256,Unknown,4,15800,22000,19075.0
MacBook Air,M2,13,Unknown,512,Unknown,1,23000,23000,23000.0
MacBook Air,M2,13,Unknown,Unknown,In Warranty,1,35000,35000,35000.0
MacBook Air,M2,13,Unknown,Unknown,Unknown,22,15000,34500,23763.636363636364
MacBook Air,M2,15,8,512,Unknown,1,22800,22800,22800.0
MacBook Air,M2,15,16,Unknown,Unknown,1,33000,33000,33000.0
MacBook Air,M2,15,Unknown,Unknown,Unknown,3,21500,81000,44500.0
MacBook Air,M3,13,8,256,Unknown,5,23500,27500,25000.0
MacBook Air,M3,13,8,Unknown,Unknown,2,24000,28000,26000.0
MacBook Air,M3,13,16,256,Unknown,8,25900,38000,28550.0
MacBook Air,M3,13,16,512,Unknown,7,27000,36000,32042.85714285714
MacBook Air,M3,13,24,512,Unknown,1,38500,38500,38500.0
MacBook Air,M3,13,24,Unknown,Unknown,3,36000,45000,40000.0
MacBook Air,M3,13,Unknown,256,In Warranty,1,23000,23000,23000.0
MacBook Air,M3,13,Unknown,256,Unknown,1,26499,26499,26499.0
MacBook Air,M3,13,Unknown,512,Unknown,2,26000,38000,32000.0
MacBook Air,M3,13,Unknown,Unknown,In Warranty,1,28000,28000,28000.0
MacBook Air,M3,13,Unknown,Unknown,Unknown,15,21500,48000,29393.333333333332
MacBook Air,M3,15,8,256,Unknown,2,26000,30000,28000.0
MacBook Air,M3,15,8,512,Unknown,1,28000,28000,28000.0
MacBook Air,M3,15,16,256,Unknown,1,33000,33000,33000.0
MacBook Air,M3,15,16,512,Unknown,1,39000,39000,39000.0
MacBook Air,M3,15,16,Unknown,Unknown,1,33000,33000,33000.0
MacBook Air,M3,15,24,512,Unknown,1,47000,47000,47000.0
MacBook Air,M3,15,Unknown,Unknown,Unknown,3,29000,40000,35833.333333333336
MacBook Air,M4,13,4,Unknown,Unknown,1,3000,3000,3000.0
MacBook Air,M4,13,8,256,Unknown,1,31000,31000,31000.0
MacBook Air,M4,13,16,256,Unknown,4,30800,33000,31802.5
MacBook Air,M4,13,16,512,Unknown,1,38500,38500,38500.0
MacBook Air,M4,13,16,Unknown,Unknown,1,30850,30850,30850.0
MacBook Air,M4,13,24,512,Unknown,1,44000,44000,44000.0
