title,price,location,date,model,processor,screen_size,storage,ram,warranty,price_num,normalized_link
遇到契丹人的全新 MacBook Air 2024年款 13吋 M3晶片 8G/256G A3113 新北永和自取,"NT$27,500",New Taipei City,2025-06-29,MacBook Air,M3,13,256,8,Unknown,27500,https://www.facebook.com/marketplace/item/3907211706185649/
MacBook Air M3 13吋,"$26,000",New Taipei City,2025-06-29,MacBook Air,M3,13,Unknown,Unknown,Unknown,26000,https://www.facebook.com/marketplace/item/1689966911716480/
"MacBook Air 15"" M3 8GB 512GB 星光色 原廠保固至2025/08/15","NT$28,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,15,512,8,Unknown,28000,https://www.facebook.com/marketplace/item/686443281058057/
Macbook Air 13 inch Pink 2019/No scratches/barely used,"NT$11,000","Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,11000,https://www.facebook.com/marketplace/item/1262972418556066/
（客戶已預訂保留）附原裝盒 自售 Macbook Air 2017年款 13吋螢幕 品相極好 型號: A1466 記憶體:8G,"NT$4,900","Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,8,Unknown,4900,https://www.facebook.com/marketplace/item/23862660313425476/
超新14 吋MacBook Pro M4 512G 16G銀色,"NT$42,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M4,14,512,Unknown,Unknown,42500,https://www.facebook.com/marketplace/item/729665212878141/
Apple MacBook Air 13吋完美無暇,"NT$3,000",New Taipei City,2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,3000,https://www.facebook.com/marketplace/item/731584712610418/
macbook air 2013,"NT$1,800",New Taipei City,2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,1800,https://www.facebook.com/marketplace/item/4162817884041200/
Macbookair m3 15吋 太空灰 可用13吋16g的換,"NT$29,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,15,Unknown,Unknown,Unknown,29000,https://www.facebook.com/marketplace/item/1219122462862807/
MacBook Air 13吋M1 16GB 256GB,"NT$14,500","Taipei, Taiwan",2025-06-29,MacBook Air,M1,13,256,16,Unknown,14500,https://www.facebook.com/marketplace/item/713745364358495/
全新沒拆封 最新2025 M4 MacBook Air 15吋 16G記憶體/512容量,"NT$41,500","Taipei, Taiwan",2025-06-29,MacBook Air,M4,15,Unknown,Unknown,Unknown,41500,https://www.facebook.com/marketplace/item/1721346398587338/
MacBook Air 15 A2941 星光色,"NT$25,000",New Taipei City,2025-06-29,MacBook Air,Unknown,15,Unknown,Unknown,Unknown,25000,https://www.facebook.com/marketplace/item/1418270799362527/
MacBook Air 13 (M3)午夜藍（已售出）,"NT$32,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,Unknown,Unknown,Unknown,32000,https://www.facebook.com/marketplace/item/1603812206974793/
2023MacBook Air 13吋/M2晶片/8核心的 CPU以及10核心GPU/記憶體512GB - 太空灰,"NT$30,000",New Taipei City,2025-06-29,MacBook Air,M2,13,Unknown,Unknown,Unknown,30000,https://www.facebook.com/marketplace/item/1018581550256879/
2020 MacBook Pro 16吋 32GB 1TB Core i9 太空灰色,"NT$27,000",New Taipei City,2025-06-29,MacBook Pro,Intel i9,16,Unknown,32,Unknown,27000,https://www.facebook.com/marketplace/item/1101113785176396/
MacBook Air M3 2024 A3113,"NT$24,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,Unknown,Unknown,Unknown,24000,https://www.facebook.com/marketplace/item/697043552946881/
保內 M2 MacBook Air 13’ 256G 8g,"NT$18,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,18000,https://www.facebook.com/marketplace/item/1160382399109926/
MacBook Air M2 13吋,"$25,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,Unknown,Unknown,Unknown,25000,https://www.facebook.com/marketplace/item/2148441935598336/
【出售】Apple MacBook Pro 13吋 M2 2022 256G 24G(記憶體),"NT$28,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,256,24,Unknown,28000,https://www.facebook.com/marketplace/item/1113245133962431/
【售】客製款電池100% MacBook Air 13吋 M3 / 16GB / 256G / 太空灰,"NT$25,900","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,256,16,Unknown,25900,https://www.facebook.com/marketplace/item/24265645916366531/
【艾爾巴二手】Macbook Air A2681 M2/8G/512G 13吋 午夜色#二手筆電#板橋店M4L06,"NT$19,500",New Taipei City,2025-06-29,MacBook Air,M2,13,512,8,Unknown,19500,https://www.facebook.com/marketplace/item/1197423668743531/
【售】MacBook Air 13吋 M4 24GB / 512G,"NT$44,000",New Taipei City,2025-06-29,MacBook Air,M4,13,512,24,Unknown,44000,https://www.facebook.com/marketplace/item/4152415504980385/
台灣公司貨 Apple MacBook Air 15吋16/512,"NT$32,000","Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,15,512,Unknown,Unknown,32000,https://www.facebook.com/marketplace/item/1968555723883290/
【售】客製款MacBook Air 13吋 M3 / 16GB / 256G / 太空灰,"NT$25,900","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,256,16,Unknown,25900,https://www.facebook.com/marketplace/item/492848273888997/
MacBook Air 2025 15寸M4 256GB+16GRAM,"NT$36,900","Taipei, Taiwan",2025-06-29,MacBook Air,M4,15,256,Unknown,Unknown,36900,https://www.facebook.com/marketplace/item/1228146515859691/
MacBook Air 13吋M1 2020 (A2337),"$19,800",New Taipei City,2025-06-29,MacBook Air,M1,13,Unknown,Unknown,Unknown,19800,https://www.facebook.com/marketplace/item/1372165084062678/
「誠徵買家」售 2025年上市Apple MacBook Air 13 吋 M4-16GB/512 GB SSD天藍色,"$38,500",New Taipei City,2025-06-29,MacBook Air,M4,13,512,16,Unknown,38500,https://www.facebook.com/marketplace/item/1445455663277048/
MacBook Pro 16吋｜i9｜32G｜1TB｜電池490次,"NT$20,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Intel i9,16,Unknown,32,Unknown,20000,https://www.facebook.com/marketplace/item/1266287008220112/
Macbook Air 13 吋 M3,"NT$31,000",New Taipei City,2025-06-29,MacBook Air,M3,13,Unknown,Unknown,Unknown,31000,https://www.facebook.com/marketplace/item/1230541331918744/
「二手」MacBook Pro 14 M1 16G/512G,"NT$29,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,512,16,Unknown,29000,https://www.facebook.com/marketplace/item/1066403598222062/
MacBook Air 13吋 M2 8G/512GB,"NT$26,990","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,512,8,Unknown,26990,https://www.facebook.com/marketplace/item/1595856721081448/
