model,processor,screen_size,ram,storage,warranty,count,min_price,max_price,avg_price
MacBook Air,Intel i3,13,8,256,Unknown,1,6888,6888,6888.0
MacBook Air,Intel i3,13,8,Unknown,Unknown,1,9000,9000,9000.0
MacBook Air,Intel i5,13,8,256,Unknown,1,4490,4490,4490.0
MacBook Air,Intel i5,13,8,Unknown,Unknown,4,3300,12999,6849.75
MacBook Air,Intel i5,13,16,Unknown,Unknown,2,6000,11000,8500.0
MacBook Air,Intel i5,15,8,Unknown,Unknown,1,1950,1950,1950.0
MacBook Air,M1,13,8,256,Unknown,5,9000,14500,11599.6
MacBook Air,M1,13,8,512,Unknown,2,13000,14800,13900.0
MacBook Air,M1,13,16,256,Unknown,1,14500,14500,14500.0
MacBook Air,M1,13,16,512,Unknown,1,20000,20000,20000.0
MacBook Air,M1,13,16,Unknown,Unknown,1,24000,24000,24000.0
MacBook Air,M1,13,Unknown,512,Unknown,1,13000,13000,13000.0
MacBook Air,M1,13,Unknown,Unknown,AppleCare,2,13800,13900,13850.0
MacBook Air,M1,13,Unknown,Unknown,Unknown,14,11900,19800,14864.214285714286
MacBook Air,M2,13,8,256,Unknown,10,16800,19900,18230.0
MacBook Air,M2,13,8,512,Unknown,3,19000,26990,21830.0
MacBook Air,M2,13,8,Unknown,Unknown,1,22000,22000,22000.0
MacBook Air,M2,13,16,256,Unknown,2,22000,23000,22500.0
MacBook Air,M2,13,16,512,Unknown,1,24000,24000,24000.0
MacBook Air,M2,13,16,Unknown,Unknown,1,26000,26000,26000.0
MacBook Air,M2,13,24,512,Unknown,1,23000,23000,23000.0
MacBook Air,M2,13,Unknown,256,Unknown,2,15800,19000,17400.0
MacBook Air,M2,13,Unknown,Unknown,Unknown,15,15000,33000,23086.666666666668
MacBook Air,M2,15,8,512,Unknown,1,22800,22800,22800.0
MacBook Air,M2,15,16,Unknown,Unknown,1,33000,33000,33000.0
MacBook Air,M3,13,8,256,Unknown,2,23500,27500,25500.0
MacBook Air,M3,13,8,Unknown,Unknown,1,24000,24000,24000.0
MacBook Air,M3,13,16,256,Unknown,6,25900,34000,27416.666666666668
MacBook Air,M3,13,16,512,Unknown,5,27000,35000,31360.0
MacBook Air,M3,13,24,512,Unknown,1,38500,38500,38500.0
MacBook Air,M3,13,24,Unknown,Unknown,2,39000,45000,42000.0
MacBook Air,M3,13,Unknown,256,In Warranty,1,23000,23000,23000.0
MacBook Air,M3,13,Unknown,512,Unknown,2,26000,32500,29250.0
MacBook Air,M3,13,Unknown,Unknown,Unknown,7,24000,32000,28128.571428571428
MacBook Air,M3,15,8,256,Unknown,1,26000,26000,26000.0
MacBook Air,M3,15,8,512,Unknown,1,28000,28000,28000.0
MacBook Air,M3,15,16,256,Unknown,1,33000,33000,33000.0
MacBook Air,M3,15,16,Unknown,Unknown,1,33000,33000,33000.0
MacBook Air,M3,15,Unknown,256,Unknown,1,30000,30000,30000.0
MacBook Air,M3,15,Unknown,Unknown,Unknown,3,29000,40000,35833.333333333336
MacBook Air,M4,13,16,256,Unknown,3,30800,33000,31933.333333333332
MacBook Air,M4,13,16,512,Unknown,2,38500,43000,40750.0
MacBook Air,M4,13,24,512,Unknown,1,44000,44000,44000.0
MacBook Air,M4,13,32,Unknown,Unknown,1,54800,54800,54800.0
MacBook Air,M4,13,128,Unknown,Unknown,1,3000,3000,3000.0
MacBook Air,M4,13,Unknown,256,Unknown,2,32000,36500,34250.0
MacBook Air,M4,13,Unknown,512,Unknown,1,41000,41000,41000.0
MacBook Air,M4,13,Unknown,Unknown,Unknown,3,27500,31500,29950.0
MacBook Air,M4,15,16,256,Unknown,2,37710,38000,37855.0
MacBook Air,M4,15,24,512,Unknown,2,46000,52000,49000.0
MacBook Air,M4,15,Unknown,256,Unknown,1,36900,36900,36900.0
MacBook Air,M4,15,Unknown,Unknown,Unknown,1,41500,41500,41500.0
MacBook Air,Unknown,13,8,256,Unknown,2,7900,18000,12950.0
MacBook Air,Unknown,13,8,Unknown,Unknown,3,4900,7000,6066.666666666667
MacBook Air,Unknown,13,16,Unknown,Unknown,1,39800,39800,39800.0
