model,processor,screen_size,storage,ram,title
MacBook Air,M2,13,256,Unknown,Macbook Air M2 256GB
MacBook Air,M3,13,512,Unknown,Macbook Air M3 512GB Midnight Blue
MacBook Air,M3,13,256,8,遇到契丹人的全新 MacBook Air 2024年款 13吋 M3晶片 8G/256G A3113 新北永和自取
MacBook Air,M1,13,Unknown,Unknown,Macbook air m1(Apple Care+)
MacBook Air,M3,13,Unknown,Unknown,MacBook Air M3 13吋
Not MacBook,,,Unknown,Unknown,售
MacBook Air,M1,13,Unknown,Unknown,Macbook air m1(Apple Care+)
MacBook Air,Unknown,13,Unknown,8,MacBook Air A1932 8G/128G 2019
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air
MacBook Air,M3,13,512,16,Macbook Air M3 16G / 512G 2024 A3113 保固中 電池100% 13吋-銀色
MacBook Air,M3,15,512,8,"MacBook Air 15"" M3 8GB 512GB 星光色 原廠保固至2025/08/15"
MacBook Air,Unknown,13,Unknown,Unknown,Macbook Air 13 inch Pink 2019/No scratches/barely used
MacBook Pro,Unknown,13,Unknown,Unknown,Macbook pro 13吋2015銀色
MacBook Air,Unknown,13,Unknown,8,（客戶已預訂保留）附原裝盒 自售 Macbook Air 2017年款 13吋螢幕 品相極好 型號: A1466 記憶體:8G
MacBook Pro,M4,14,512,Unknown,超新14 吋MacBook Pro M4 512G 16G銀色
MacBook Air,Unknown,13,Unknown,Unknown,Apple MacBook Air 13吋完美無暇
MacBook Air,Unknown,13,Unknown,Unknown,macbook air 11吋功能全部正常有原盒，已重塗cpu散熱膏+更換新電池，有興趣都可詢問並蘆洲面交
MacBook Air,Unknown,13,Unknown,Unknown,macbook air 2013
Not MacBook,,,Unknown,Unknown,售 Apple iPad Air 1 LTE 插SIM卡版 台北自取
MacBook Air,M3,15,Unknown,Unknown,Macbookair m3 15吋 太空灰 可用13吋16g的換
MacBook Air,M1,13,256,16,MacBook Air 13吋M1 16GB 256GB
MacBook Air,M4,15,Unknown,Unknown,全新沒拆封 最新2025 M4 MacBook Air 15吋 16G記憶體/512容量
MacBook Air,M4,13,Unknown,32,MacBook Air M4 32G 1TB 藍 全新未拆封 自取 不議
MacBook Air,Unknown,15,Unknown,Unknown,MacBook Air 15 A2941 星光色
MacBook Air,M3,13,Unknown,Unknown,MacBook Air 13 (M3)午夜藍（已售出）
MacBook Air,M2,13,Unknown,Unknown,2023MacBook Air 13吋/M2晶片/8核心的 CPU以及10核心GPU/記憶體512GB - 太空灰
MacBook Pro,Intel i9,16,Unknown,32,2020 MacBook Pro 16吋 32GB 1TB Core i9 太空灰色
MacBook Air,M2,13,Unknown,Unknown,特殊規格 16G記憶體/1TB ssd m2 MacBook Air 13
MacBook Air,M3,13,Unknown,Unknown,MacBook Air M3 2024 A3113
MacBook Air,M1,13,512,16,MacbookAir M1 16+512
MacBook Air,M1,13,Unknown,Unknown,MacBook Air M1
Not MacBook,,,Unknown,Unknown,售
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air 2020
MacBook Air,M2,13,256,8,保內 M2 MacBook Air 13’ 256G 8g
MacBook Air,M1,13,Unknown,Unknown,MacBook Air M1
MacBook Air,M4,13,Unknown,16,雙北捷運Apple MacBook Air m4 天藍色16g/256gb近全新 電池100循環四次保固到2026/5/25
MacBook Pro,M1Pro,13,Unknown,Unknown,MacBook Pro M1 Pro
MacBook Air,M2,13,Unknown,Unknown,MacBook Air M2 13吋
MacBook Pro,M2,13,256,24,【出售】Apple MacBook Pro 13吋 M2 2022 256G 24G(記憶體)
MacBook Air,M3,13,256,16,【售】客製款電池100% MacBook Air 13吋 M3 / 16GB / 256G / 太空灰
MacBook Air,M2,13,512,8,【艾爾巴二手】Macbook Air A2681 M2/8G/512G 13吋 午夜色#二手筆電#板橋店M4L06
MacBook Pro,Unknown,15,512,16,競標 MacBook Pro 15吋 16GB 512G Touch Bar版本
